ItemName,BitSize,Type,ShortDescription,Endian,State,Units,Conversion_C0,Conversion_C1,Conversion_C2,Conversion_C3,Conversion_C4,Packet,Array,Item Size in array,No_of_Elements,Elements
,,,,,,,,,,,,,,,,
Mode,8,UINT,,LITTLE_ENDIAN,0/SAFE 1/SUB_SCI 2/SCI,,,,,,,,,,,
Command_Count,8,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
Command_Failed_Count,8,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
Sytem_State,8,UINT,,LITTLE_ENDIAN,0/OFF 1/ON,,,,,,,,Yes,,,"GMC, UHF, Heater"
CDH_Periph_Status,8,UINT,,LITTLE_ENDIAN,0/OFF 1/ON,,,,,,,,Yes,1,8,
Acceleration,48,INT,,LITTLE_ENDIAN,,,,,,,,,Yes,16,3,
Angular_Rate,48,UINT,,LITTLE_ENDIAN,,,,,,,,,Yes,16,3,
Magnetometer,48,UINT,,LITTLE_ENDIAN,,,,,,,,,Yes,16,3,
VC_Sensor,80,UINT,,LITTLE_ENDIAN,,,,,,,,,Yes,16,5,"GMC, CDH, UHF, Battery, EPS"
Battery_SOC,16,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
System_Temp,16,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,"UHF, OBC, Antenna, Battery"
No_OF_Resets,8,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
64_bit_Counter,64,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
CLT_Elapsed_Period,16,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
No_OF_CLT_Resets,8,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
No_of_WatchDog_Reset,8,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
Last_Received_Real_Time,16,UINT,,LITTLE_ENDIAN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Storage_Card_State,8,UINT,,LITTLE_ENDIAN,0/OFF 1/ON,,,,,,,,Yes,1,8,"SD_State, Flash_State, Storage_Selected"
HK_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
HK_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Logs_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Logs_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
UHF_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
UHF_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
GMC_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
GMC_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_HK_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_HK_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_SD_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_SD_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_Logs_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_Logs_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_UHF_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_UHF_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_GMC_Read_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,
Flash_GMC_Write_Pointer,32,UINT,,LITTLE_ENDIAN,,,,,,,,,No,,,